locality_pid,gnaf_locality_pid,date_created,date_retired,locality_name,postcode,locality_class
VIC1282,250185160,27/4/12,,KALORAMA,3766,GAZETTED LOCALITY
VIC1283,250178147,3/8/18,,KALPIENUNG,3529,GAZETTED LOCALITY
VIC1284,250185161,27/4/12,,KAMAROOKA,3570,GAZETTED LOCALITY
VIC1285,250178149,27/4/12,,KAMAROOKA NORTH,3571,GAZETTED LOCALITY
VIC1286,250178150,27/4/12,,KANAGULK,3401,GAZETTED LOCALITY
VIC1287,250178151,27/4/12,,KANCOONA,3691,GAZETTED LOCALITY
VIC1288,250185162,27/4/12,,KANGAROO FLAT,3555,GAZETTED LOCALITY
VIC1289,250185163,27/4/12,,KANGAROO GROUND,3097,GAZETTED LOCALITY
VIC1290,250185164,27/4/12,,KANIVA,3419,GAZETTED LOCALITY
VIC1291,250185165,27/4/12,,KANUMBRA,3719,GAZETTED LOCALITY
VIC1292,250180798,27/4/12,,KANYA,3387,GAZETTED LOCALITY
VIC1293,250185166,27/4/12,,KANYAPELLA,3564,GAZETTED LOCALITY
VIC1294,250185167,27/4/12,,KARABEAL,3294,GAZETTED LOCALITY
VIC1295,250185168,27/4/12,,KARDELLA,3951,GAZETTED LOCALITY
VIC1296,250185169,27/4/12,,KARDELLA SOUTH,3950,GAZETTED LOCALITY
VIC1297,250185170,27/4/12,,KARIAH,3260,GAZETTED LOCALITY
VIC1298,250185171,27/4/12,,KARNAK,3401,GAZETTED LOCALITY
VIC1299,250185172,27/4/12,,KARRAMOMUS,3631,GAZETTED LOCALITY
VIC1300,250178164,27/4/12,,KARYRIE,3483,GAZETTED LOCALITY
VIC1301,250185173,27/4/12,,KATAMATITE,3649,GAZETTED LOCALITY
VIC1302,250178166,27/4/12,,KATAMATITE EAST,3649,GAZETTED LOCALITY
VIC1303,250185174,27/4/12,,KATANDRA,3634,GAZETTED LOCALITY
VIC1304,250185175,27/4/12,,KATANDRA WEST,3634,GAZETTED LOCALITY
VIC1305,250185176,5/5/16,,KATUNGA,3640,GAZETTED LOCALITY
VIC1306,250185177,27/4/12,,KAWARREN,3249,GAZETTED LOCALITY
VIC1307,250185178,12/5/18,,KEALBA,3021,GAZETTED LOCALITY
VIC1308,250178172,27/4/12,,KEELY,3568,GAZETTED LOCALITY
VIC1309,250185179,3/8/18,,KEILOR,3036,GAZETTED LOCALITY
VIC1310,250185180,9/8/17,,KEILOR DOWNS,3038,GAZETTED LOCALITY
VIC1311,250185181,27/4/12,,KEILOR EAST,3033,GAZETTED LOCALITY
VIC1312,250185182,27/4/12,,KEILOR LODGE,3038,GAZETTED LOCALITY
VIC1313,250178177,12/5/18,,KEILOR NORTH,3036,GAZETTED LOCALITY
VIC1314,250185183,27/4/12,,KEILOR PARK,3042,GAZETTED LOCALITY
VIC1315,250178179,27/4/12,,KELLALAC,3393,GAZETTED LOCALITY
VIC1316,250178180,27/4/12,,KELVIN VIEW,3666,GAZETTED LOCALITY
VIC1317,250178181,29/10/12,,KENLEY,3597,GAZETTED LOCALITY
VIC1318,250185184,27/4/12,,KENMARE,3395,GAZETTED LOCALITY
VIC1319,250185185,1/11/17,,KENNEDYS CREEK,3239,GAZETTED LOCALITY
VIC1320,250185186,27/4/12,,KENNETT RIVER,3234,GAZETTED LOCALITY
VIC1321,250185187,27/4/12,,KENNINGTON,3550,GAZETTED LOCALITY
VIC1322,250185188,1/11/17,,KENSINGTON,3031,GAZETTED LOCALITY
VIC1323,250185189,2/2/17,,KERANG,3579,GAZETTED LOCALITY
